Date,Open,High,Low,Close,Adj Close,Volume
26-02-18,288.75,295.649994,287.01001,294.160004,294.160004,10268600
27-02-18,294.769989,297.359985,290.589996,290.609985,290.609985,9416500
28-02-18,293.100006,295.75,290.779999,291.380005,291.380005,7653500
01-03-18,292.75,295.25,283.829987,290.390015,290.390015,11932100
02-03-18,284.649994,301.179993,283.230011,301.049988,301.049988,13345300
05-03-18,302.850006,316.910004,297.600006,315,315,18986100
06-03-18,319.880005,325.790009,316.5,325.220001,325.220001,18525800
07-03-18,320,323.73999,314.549988,321.160004,321.160004,17132200
08-03-18,322.200012,322.920013,314.130005,317,317,11340100
09-03-18,321.329987,331.440002,320.230011,331.440002,331.440002,14500200
12-03-18,333.559998,333.980011,318.600006,321.299988,321.299988,20369200
13-03-18,323.869995,325.839996,313.279999,315.880005,315.880005,12917200
14-03-18,318.160004,323.880005,317.700012,321.549988,321.549988,10475100
15-03-18,323.170013,323.399994,318.140015,321.089996,321.089996,5642900
16-03-18,321.420013,324.109985,318.369995,318.450012,318.450012,7333700
19-03-18,315.799988,317,307.339996,313.480011,313.480011,9925200
20-03-18,313.26001,319.5,312.799988,317.5,317.5,5991900
21-03-18,316.350006,319.399994,314.51001,316.480011,316.480011,5263900
22-03-18,313.070007,314.119995,305.660004,306.700012,306.700012,8063300
23-03-18,307.410004,309.369995,300.359985,300.940002,300.940002,9529900
26-03-18,309.359985,321.029999,302,320.350006,320.350006,11988300
27-03-18,322.48999,322.899994,297,300.690002,300.690002,12068600
28-03-18,298.390015,298.799988,281.609985,285.769989,285.769989,18972900
29-03-18,287,295.350006,275.899994,295.350006,295.350006,19145500
02-04-18,291.940002,292.869995,275.049988,280.290009,280.290009,13405800
03-04-18,285.450012,291.25,278.01001,283.670013,283.670013,12694900
04-04-18,273.630005,290.309998,271.220001,288.940002,288.940002,12914000
05-04-18,293.149994,299.160004,289.109985,293.970001,293.970001,10655200
06-04-18,289.100006,298.850006,285.649994,288.850006,288.850006,11444800
09-04-18,291.769989,299.549988,289.119995,289.929993,289.929993,9853600
10-04-18,297.679993,298.950012,291.690002,298.070007,298.070007,10660500
11-04-18,302.880005,311.640015,301.820007,303.670013,303.670013,14877400
12-04-18,309.720001,311.130005,306.75,309.25,309.25,10249400
13-04-18,317.290009,317.48999,308.230011,311.649994,311.649994,12046600
16-04-18,315.98999,316.100006,304,307.779999,307.779999,20307900
17-04-18,329.660004,338.619995,323.769989,336.059998,336.059998,33866500
18-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100
19-04-18,332.880005,335.309998,326.769989,332.700012,332.700012,8438800
20-04-18,332.220001,336.51001,326,327.769989,327.769989,9158700
23-04-18,329.149994,331.220001,317.079987,318.690002,318.690002,8968000
24-04-18,319.220001,320.25,302.309998,307.019989,307.019989,13893200
25-04-18,306.369995,309.980011,292.619995,305.76001,305.76001,14919700
26-04-18,310,316.630005,305.579987,313.980011,313.980011,9266700
27-04-18,316.25,317.450012,306.5,311.76001,311.76001,7074400
30-04-18,311.070007,317.880005,310.119995,312.459991,312.459991,6088800
01-05-18,310.359985,313.480011,306.690002,313.299988,313.299988,6036600
02-05-18,311.649994,317.100006,310.399994,313.359985,313.359985,5697100
03-05-18,312.589996,312.589996,305.730011,311.690002,311.690002,6135800
04-05-18,308.709991,320.980011,307.670013,320.089996,320.089996,8209500
07-05-18,321.98999,329.019989,319.339996,326.26001,326.26001,7117800
08-05-18,325.899994,327.350006,323.049988,326.890015,326.890015,4735700
09-05-18,328.790009,331.950012,327.51001,330.299988,330.299988,5633400
10-05-18,331.5,332.059998,327.339996,329.600006,329.600006,5302300
11-05-18,329.649994,331.26001,324.869995,326.459991,326.459991,4589700
14-05-18,327.25,330.5,327.040009,328.529999,328.529999,4089800
15-05-18,325.940002,326.940002,322.429993,326.130005,326.130005,4746100
16-05-18,326.279999,329.720001,325.140015,328.190002,328.190002,3671700
17-05-18,327.529999,330.450012,323.170013,325.220001,325.220001,4935700
18-05-18,324.899994,326.420013,322.799988,324.179993,324.179993,3577700
21-05-18,327.109985,331.880005,325.450012,331.820007,331.820007,6657300
22-05-18,334.049988,336.630005,331.149994,331.619995,331.619995,5964400
23-05-18,329.040009,345,328.089996,344.720001,344.720001,10001600
24-05-18,344.339996,354,341.119995,349.290009,349.290009,14464100
25-05-18,349.899994,354.359985,348.829987,351.290009,351.290009,7817400
29-05-18,351.5,356.100006,346.709991,349.730011,349.730011,9681000
30-05-18,352.369995,354,349.26001,353.540009,353.540009,5685500
31-05-18,353.799988,355.529999,350.209991,351.600006,351.600006,6921700
01-06-18,353.880005,359.98999,352.820007,359.929993,359.929993,7075200
04-06-18,362.679993,363,355.51001,361.809998,361.809998,7643800
05-06-18,363.320007,369.829987,361.410004,365.799988,365.799988,8358000
06-06-18,367.779999,369.679993,363.329987,367.450012,367.450012,7712300
07-06-18,368.540009,368.700012,357.799988,361.399994,361.399994,8278000
08-06-18,358.059998,362.390015,356.25,360.570007,360.570007,5225700
11-06-18,361.880005,365.670013,360.910004,361.450012,361.450012,4432400
12-06-18,363.600006,365.980011,362,363.829987,363.829987,4291000
13-06-18,367.529999,384.25,364.109985,379.929993,379.929993,18222800
14-06-18,384.269989,395.029999,383.25,392.869995,392.869995,14598300
15-06-18,390.709991,398.859985,387.51001,391.980011,391.980011,13588100
18-06-18,387.720001,393.160004,386.5,390.399994,390.399994,6824800
19-06-18,389.5,405.290009,388.5,404.980011,404.980011,16697100
20-06-18,415.149994,419.470001,409.600006,416.76001,416.76001,16494600
21-06-18,421.380005,423.209991,406.369995,415.440002,415.440002,18389900
22-06-18,419.980011,420.5,409.649994,411.089996,411.089996,10428600
25-06-18,404.690002,405.98999,378.75,384.480011,384.480011,22490900
26-06-18,393.279999,404.779999,389.049988,399.390015,399.390015,15191200
27-06-18,407.559998,411.589996,390,390.390015,390.390015,16541400
28-06-18,395,396.899994,387.100006,395.420013,395.420013,12219900
29-06-18,399.190002,401.329987,390.549988,391.429993,391.429993,9252500
02-07-18,385.450012,398.380005,380,398.179993,398.179993,8142500
03-07-18,399.48999,399.980011,389.5,390.519989,390.519989,5280300
05-07-18,393.799988,399.23999,390.859985,398.390015,398.390015,8448900
06-07-18,397.450012,408.649994,395.519989,408.25,408.25,8629600
09-07-18,415.950012,419.119995,411.100006,418.970001,418.970001,11127500
10-07-18,417.23999,419.440002,413.079987,415.630005,415.630005,9382900
11-07-18,411.339996,419.769989,410.600006,418.649994,418.649994,9713900
12-07-18,415.160004,416.790009,407.799988,413.5,413.5,12743300
13-07-18,409.190002,410,395.079987,395.799988,395.799988,15719000
16-07-18,398.980011,403.359985,391.75,400.480011,400.480011,22960000
17-07-18,346.950012,385,344,379.480011,379.480011,58410400
18-07-18,381.23999,383.130005,372.359985,375.130005,375.130005,21746300
19-07-18,371.059998,375.75,363,364.230011,364.230011,16878700
20-07-18,364.920013,370.5,360.140015,361.049988,361.049988,15096700
23-07-18,359.149994,363.899994,353.600006,362.660004,362.660004,11505200
24-07-18,366.940002,367.399994,354.559998,357.320007,357.320007,12851500
25-07-18,357.570007,363.279999,355.649994,362.869995,362.869995,8467800
26-07-18,358.190002,365.540009,356.630005,363.089996,363.089996,6993700
27-07-18,366.850006,367,351.649994,355.209991,355.209991,8949500
30-07-18,351.929993,352.029999,334.019989,334.959991,334.959991,18260700
31-07-18,331.51001,342.5,328,337.450012,337.450012,14085400
01-08-18,335.869995,344.410004,334.019989,338.380005,338.380005,7790500
02-08-18,337.230011,345,334.709991,344.5,344.5,7131300
03-08-18,347.75,347.859985,338.480011,343.089996,343.089996,8848400
06-08-18,342.869995,351.980011,341.73999,350.920013,350.920013,8198100
07-08-18,353.230011,357.309998,349.01001,351.829987,351.829987,7970900
08-08-18,352.209991,352.290009,346.609985,347.609985,347.609985,5394700
09-08-18,347.959991,352.440002,345.820007,349.359985,349.359985,4814600
10-08-18,346.910004,349.100006,344.420013,345.869995,345.869995,4328400
13-08-18,339.890015,347.190002,339.070007,341.309998,341.309998,6888900
14-08-18,342.089996,342.410004,336.25,337.48999,337.48999,5805200
15-08-18,334.029999,335.5,321,326.399994,326.399994,11784500
16-08-18,329.899994,331.170013,321.209991,322.440002,322.440002,6689700
17-08-18,319.01001,324.369995,312.959991,316.779999,316.779999,10407900
20-08-18,314.640015,331.600006,310.929993,327.730011,327.730011,13591100
21-08-18,331,341.5,329.700012,338.019989,338.019989,14783200
22-08-18,338.48999,346.209991,337.410004,344.440002,344.440002,8930700
23-08-18,348.109985,350.079987,337.649994,339.170013,339.170013,11336400
24-08-18,346,359.149994,344.540009,358.820007,358.820007,14729100
27-08-18,367.149994,374.48999,360,364.579987,364.579987,17427300
28-08-18,367.230011,369.98999,360.380005,368.48999,368.48999,9222600
29-08-18,367.200012,369.859985,362.910004,368.040009,368.040009,8118700
30-08-18,365,376.809998,363.540009,370.980011,370.980011,10981000
31-08-18,370.660004,376,367.079987,367.679993,367.679993,7943400
04-09-18,366.470001,368.880005,361.26001,363.600006,363.600006,7605200
05-09-18,360,363.390015,335.829987,341.179993,341.179993,13092800
06-09-18,347.440002,356,341.98999,346.459991,346.459991,13050200
07-09-18,342.200012,355.75,341.25,348.679993,348.679993,9105800
10-09-18,352.269989,352.5,343.079987,348.410004,348.410004,5752200
11-09-18,344.670013,356.149994,343.899994,355.929993,355.929993,6198100
12-09-18,359.079987,370.429993,356.23999,369.950012,369.950012,10480800
13-09-18,371.910004,374.089996,366.839996,368.149994,368.149994,8366100
14-09-18,368.549988,371.089996,363.459991,364.559998,364.559998,4756400
17-09-18,364.220001,367.329987,349.570007,350.350006,350.350006,7071900
18-09-18,353.670013,368.149994,351.559998,367.649994,367.649994,10414000
19-09-18,373.950012,377.609985,359.170013,366.959991,366.959991,11876800
20-09-18,370.26001,370.26001,363.170013,365.359985,365.359985,6761100
